Intermediate,Week,WeekStart,Qty
TSP-665,32,2026-08-03 00:00:00,0
TSP-665,33,2026-08-10 00:00:00,0
TSP-665,34,2026-08-17 00:00:00,0
TSP-665,35,2026-08-24 00:00:00,0
TSP-668,19,2026-05-04 00:00:00,0
TSP-668,20,2026-05-11 00:00:00,0
TSP-668,21,2026-05-18 00:00:00,0
TSP-668,22,2026-05-25 00:00:00,0
TSP-668,23,2026-06-01 00:00:00,0
TSP-668,24,2026-06-08 00:00:00,0
TSP-668,25,2026-06-15 00:00:00,0
TSP-668,26,2026-06-22 00:00:00,0
TSP-668,27,2026-06-29 00:00:00,0
TSP-668,28,2026-07-06 00:00:00,0
TSP-668,29,2026-07-13 00:00:00,0
TSP-668,30,2026-07-20 00:00:00,0
TSP-668,31,2026-07-27 00:00:00,0
TSP-668,32,2026-08-03 00:00:00,0
TSP-668,33,2026-08-10 00:00:00,0
TSP-668,34,2026-08-17 00:00:00,0
TSP-668,35,2026-08-24 00:00:00,0
TSP-669,19,2026-05-04 00:00:00,0
TSP-669,20,2026-05-11 00:00:00,0
TSP-669,21,2026-05-18 00:00:00,0
TSP-669,22,2026-05-25 00:00:00,0
TSP-669,23,2026-06-01 00:00:00,0
TSP-669,24,2026-06-08 00:00:00,0
TSP-669,25,2026-06-15 00:00:00,0
TSP-669,26,2026-06-22 00:00:00,0
TSP-669,27,2026-06-29 00:00:00,0
TSP-669,28,2026-07-06 00:00:00,0
TSP-669,29,2026-07-13 00:00:00,0
TSP-669,30,2026-07-20 00:00:00,0
TSP-669,31,2026-07-27 00:00:00,0
TSP-669,32,2026-08-03 00:00:00,0
TSP-669,33,2026-08-10 00:00:00,0
TSP-669,34,2026-08-17 00:00:00,0
TSP-669,35,2026-08-24 00:00:00,0
TSP-670,19,2026-05-04 00:00:00,0
TSP-670,20,2026-05-11 00:00:00,0
TSP-670,21,2026-05-18 00:00:00,0
TSP-670,22,2026-05-25 00:00:00,0
TSP-670,23,2026-06-01 00:00:00,0
TSP-670,24,2026-06-08 00:00:00,0
TSP-670,25,2026-06-15 00:00:00,0
TSP-670,26,2026-06-22 00:00:00,0
TSP-670,27,2026-06-29 00:00:00,0
TSP-670,28,2026-07-06 00:00:00,0
TSP-670,29,2026-07-13 00:00:00,0
TSP-670,30,2026-07-20 00:00:00,0
TSP-670,31,2026-07-27 00:00:00,0
TSP-670,32,2026-08-03 00:00:00,0
TSP-670,33,2026-08-10 00:00:00,0
TSP-670,34,2026-08-17 00:00:00,0
TSP-670,35,2026-08-24 00:00:00,0
TSP-710,19,2026-05-04 00:00:00,0
TSP-710,20,2026-05-11 00:00:00,0
TSP-710,21,2026-05-18 00:00:00,0
TSP-710,22,2026-05-25 00:00:00,0
TSP-710,23,2026-06-01 00:00:00,0
TSP-710,24,2026-06-08 00:00:00,0
TSP-710,25,2026-06-15 00:00:00,0
TSP-710,26,2026-06-22 00:00:00,0
TSP-710,27,2026-06-29 00:00:00,0
TSP-710,28,2026-07-06 00:00:00,0
TSP-710,29,2026-07-13 00:00:00,0
TSP-710,30,2026-07-20 00:00:00,0
TSP-710,31,2026-07-27 00:00:00,0
TSP-710,32,2026-08-03 00:00:00,0
TSP-710,33,2026-08-10 00:00:00,0
